150958,None,CUB,Gold,Baseball Men's Baseball,Baseball,2004 Summer,2004,Summer,Athina
150959,None,CUB,Silver,Baseball Men's Baseball,Baseball,2008 Summer,2008,Summer,Beijing
151012,None,CUB,Silver,Athletics Men's 4 x 400 metres Relay,Athletics,1992 Summer,1992,Summer,Barcelona
151021,None,CUB,Bronze,Volleyball Men's Volleyball,Volleyball,1976 Summer,1976,Summer,Montreal
151034,None,CUB,Bronze,Boxing Men's Middleweight,Boxing,1976 Summer,1976,Summer,Montreal
151039,None,ESP,Bronze,Athletics Men's Shot Put,Athletics,2004 Summer,2004,Summer,Athina
151052,None,ESP,Gold,Hockey Women's Hockey,Hockey,1992 Summer,1992,Summer,Barcelona
151053,None,USA,Silver,Weightlifting Men's Super-Heavyweight,Weightlifting,1984 Summer,1984,Summer,Los Angeles
151061,None,CUB,Bronze,Volleyball Women's Volleyball,Volleyball,2004 Summer,2004,Summer,Athina
151064,None,FRA,Bronze,Cycling Men's Mountainbike Cross-Country,Cycling,1996 Summer,1996,Summer,Atlanta
151065,None,FRA,Gold,Cycling Men's Mountainbike Cross-Country,Cycling,2000 Summer,2000,Summer,Sydney
151075,None,CUB,Gold,Boxing Men's Bantamweight,Boxing,1972 Summer,1972,Summer,Munich
151137,None,COL,Silver,Boxing Men's Light-Flyweight,Boxing,2016 Summer,2016,Summer,Rio de Janeiro
151160,None,NOR,Gold,Sailing Mixed 8 metres,Sailing,1920 Summer,1920,Summer,Antwerpen
151162,None,USA,Bronze,Swimming Women's 50 metres Freestyle,Swimming,1992 Summer,1992,Summer,Barcelona
151163,None,USA,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,1992 Summer,1992,Summer,Barcelona
151165,None,USA,Bronze,Swimming Women's 100 metres Freestyle,Swimming,1996 Summer,1996,Summer,Atlanta
151166,None,USA,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,1996 Summer,1996,Summer,Atlanta
151167,None,USA,Bronze,Swimming Women's 100 metres Butterfly,Swimming,1996 Summer,1996,Summer,Atlanta
151168,None,USA,Gold,Swimming Women's 4 x 100 metres Medley Relay,Swimming,1996 Summer,1996,Summer,Atlanta
151170,None,ITA,Gold,Gymnastics Men's Team All-Around,Gymnastics,1924 Summer,1924,Summer,Paris
151174,None,ITA,Gold,Gymnastics Men's Rings,Gymnastics,1924 Summer,1924,Summer,Paris
151181,None,FRA,Silver,Freestyle Skiing Women's Halfpipe,Freestyle Skiing,2014 Winter,2014,Winter,Sochi
151186,None,YUG,Silver,Wrestling Men's Lightweight Greco-Roman,Wrestling,1960 Summer,1960,Summer,Roma
151187,None,YUG,Bronze,Wrestling Men's Featherweight Greco-Roman,Wrestling,1964 Summer,1964,Summer,Tokyo
151192,None,BLR,Bronze,Rhythmic Gymnastics Women's Group,Rhythmic Gymnastics,2008 Summer,2008,Summer,Beijing
151223,None,POR,Bronze,Equestrianism Men's Jumping Team,Equestrianism,1924 Summer,1924,Summer,Paris
151248,None,NOR,Bronze,Football Men's Football,Football,1936 Summer,1936,Summer,Berlin
151252,None,NOR,Silver,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing,1968 Winter,1968,Winter,Grenoble
151254,None,NOR,Gold,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing,1968 Winter,1968,Winter,Grenoble
151257,None,NOR,Silver,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing,1976 Winter,1976,Winter,Innsbruck
151258,None,NOR,Gold,Gymnastics Men's Team All-Around Free System,Gymnastics,1912 Summer,1912,Summer,Stockholm
151271,None,SWE,Silver,Cross Country Skiing Women's 3 x 5 kilometres Relay,Cross Country Skiing,1964 Winter,1964,Winter,Innsbruck
151274,None,SWE,Silver,Cross Country Skiing Women's 3 x 5 kilometres Relay,Cross Country Skiing,1968 Winter,1968,Winter,Grenoble
151289,None,ARM,Silver,Weightlifting Men's Heavyweight,Weightlifting,2016 Summer,2016,Summer,Rio de Janeiro
151290,None,ARM,Bronze,Weightlifting Men's Lightweight,Weightlifting,2008 Summer,2008,Summer,Beijing
151292,None,ARM,Bronze,Weightlifting Men's Light-Heavyweight,Weightlifting,2008 Summer,2008,Summer,Beijing
151300,None,HUN,Bronze,Athletics Women's Shot Put,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
151327,None,FIN,Bronze,Athletics Men's Marathon,Athletics,1928 Summer,1928,Summer,Amsterdam
151341,None,SUI,Bronze,Ice Hockey Women's Ice Hockey,Ice Hockey,2014 Winter,2014,Winter,Sochi
151347,None,SUI,Bronze,Ice Hockey Women's Ice Hockey,Ice Hockey,2014 Winter,2014,Winter,Sochi
151355,None,BLR,Bronze,Shooting Men's Small-Bore Rifle Prone 50 metres,Shooting,2000 Summer,2000,Summer,Sydney
151357,None,BLR,Bronze,Shooting Men's Small-Bore Rifle Prone 50 metres,Shooting,2004 Summer,2004,Summer,Athina
151360,None,BLR,Gold,Shooting Men's Small-Bore Rifle Prone 50 metres,Shooting,2012 Summer,2012,Summer,London
151361,None,EUN,Silver,Wrestling Men's Featherweight Greco-Roman,Wrestling,1992 Summer,1992,Summer,Barcelona
151373,None,URS,Bronze,Rowing Men's Coxed Eights,Rowing,1968 Summer,1968,Summer,Mexico City
151384,None,JPN,Bronze,Synchronized Swimming Women's Team,Synchronized Swimming,2016 Summer,2016,Summer,Rio de Janeiro
151420,None,JPN,Silver,Football Women's Football,Football,2012 Summer,2012,Summer,London
151435,None,HUN,Silver,Fencing Women's Foil Team,Fencing,1960 Summer,1960,Summer,Roma
151439,None,USA,Silver,Ice Hockey Women's Ice Hockey,Ice Hockey,2010 Winter,2010,Winter,Vancouver
151440,None,USA,Silver,Ice Hockey Women's Ice Hockey,Ice Hockey,2014 Winter,2014,Winter,Sochi
151441,None,USA,Bronze,Sailing Mixed One Person Dinghy,Sailing,1956 Summer,1956,Summer,Melbourne
151443,None,SUI,Silver,Cycling Men's Madison,Cycling,2004 Summer,2004,Summer,Athina
151453,None,POL,Gold,Football Men's Football,Football,1972 Summer,1972,Summer,Munich
151456,None,FRG,Bronze,Cycling Men's Team Pursuit 4000 metres,Cycling,1984 Summer,1984,Summer,Los Angeles
151494,None,ITA,Silver,Fencing Men's Sabre Team,Fencing,1928 Summer,1928,Summer,Amsterdam
151495,None,ITA,Gold,Fencing Men's Foil Individual,Fencing,1932 Summer,1932,Summer,Los Angeles
151496,None,ITA,Silver,Fencing Men's Foil Team,Fencing,1932 Summer,1932,Summer,Los Angeles
151497,None,ITA,Silver,Fencing Men's Sabre Team,Fencing,1932 Summer,1932,Summer,Los Angeles
151498,None,ITA,Gold,Fencing Men's Foil Team,Fencing,1936 Summer,1936,Summer,Berlin
151499,None,ITA,Silver,Fencing Men's Sabre Individual,Fencing,1936 Summer,1936,Summer,Berlin
151500,None,ITA,Silver,Fencing Men's Sabre Team,Fencing,1936 Summer,1936,Summer,Berlin
151510,None,ITA,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1960 Summer,1960,Summer,Roma
151519,None,ITA,Silver,Basketball Men's Basketball,Basketball,1980 Summer,1980,Summer,Moskva
151542,None,KEN,Bronze,Athletics Women's 10000 metres,Athletics,2008 Summer,2008,Summer,Beijing
151548,None,ITA,Gold,Modern Pentathlon Men's Individual,Modern Pentathlon,1984 Summer,1984,Summer,Los Angeles
151549,None,ITA,Gold,Modern Pentathlon Men's Team,Modern Pentathlon,1984 Summer,1984,Summer,Los Angeles
151551,None,ITA,Silver,Modern Pentathlon Men's Team,Modern Pentathlon,1988 Summer,1988,Summer,Seoul
151588,None,ITA,Bronze,Rowing Men's Lightweight Coxless Fours,Rowing,2004 Summer,2004,Summer,Athina
151597,None,FRA,Bronze,Art Competitions Mixed Sculpturing,Art Competitions,1924 Summer,1924,Summer,Paris
151601,None,ARG,Gold,Football Men's Football,Football,2004 Summer,2004,Summer,Athina
151602,None,ARG,Gold,Football Men's Football,Football,2008 Summer,2008,Summer,Beijing
151607,None,ITA,Silver,Fencing Men's Sabre Team,Fencing,1936 Summer,1936,Summer,Berlin
151624,None,ITA,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1906 Summer,1906,Summer,Athina
151625,None,EUN,Gold,Canoeing Men's Canadian Doubles 500 metres,Canoeing,1992 Summer,1992,Summer,Barcelona
151629,None,USA,Gold,Athletics Men's 4 x 400 metres Relay,Athletics,1956 Summer,1956,Summer,Melbourne
151643,None,UKR,Bronze,Judo Men's Middleweight,Judo,2000 Summer,2000,Summer,Sydney
151670,None,LTU,Bronze,Basketball Men's Basketball,Basketball,2000 Summer,2000,Summer,Sydney
151675,None,GDR,Gold,Boxing Men's Middleweight,Boxing,1988 Summer,1988,Summer,Seoul
151684,None,URS,Silver,Athletics Men's 50 kilometres Walk,Athletics,1956 Summer,1956,Summer,Melbourne
151685,None,LTU,Bronze,Basketball Men's Basketball,Basketball,2000 Summer,2000,Summer,Sydney
151687,None,TCH,Bronze,Figure Skating Women's Singles,Figure Skating,1968 Winter,1968,Winter,Grenoble
151706,None,RUS,Bronze,Shooting Men's Air Rifle 10 metres,Shooting,2016 Summer,2016,Summer,Rio de Janeiro
151722,None,URS,Gold,Football Men's Football,Football,1956 Summer,1956,Summer,Melbourne
151727,None,FRA,Bronze,Alpine Skiing Women's Combined,Alpine Skiing,1992 Winter,1992,Winter,Albertville
151732,None,FRA,Bronze,Alpine Skiing Women's Downhill,Alpine Skiing,1998 Winter,1998,Winter,Nagano
151735,None,TCH,Silver,Football Men's Football,Football,1964 Summer,1964,Summer,Tokyo
151756,None,USA,Gold,Bobsleigh Men's Four/Five,Bobsleigh,1928 Winter,1928,Winter,Sankt Moritz
151757,None,GBR,Silver,Lacrosse Men's Lacrosse,Lacrosse,1908 Summer,1908,Summer,London
151758,None,GBR,Silver,Athletics Men's High Jump,Athletics,2008 Summer,2008,Summer,Beijing
151762,None,AUS,Silver,Hockey Men's Hockey,Hockey,1968 Summer,1968,Summer,Mexico City
151788,None,AUS,Silver,Athletics Women's High Jump,Athletics,1964 Summer,1964,Summer,Tokyo
151789,None,IND,Gold,Hockey Men's Hockey,Hockey,1936 Summer,1936,Summer,Berlin
151790,None,TCH,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1968 Winter,1968,Winter,Grenoble
151792,None,ARG,Silver,Hockey Women's Hockey,Hockey,2000 Summer,2000,Summer,Sydney
151796,None,ITA,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1906 Summer,1906,Summer,Athina
151803,None,ITA,Bronze,Cycling Men's Tandem Sprint 2000 metres,Cycling,1952 Summer,1952,Summer,Helsinki
151805,None,FRA,Bronze,Weightlifting Men's Unlimited Two Hands,Weightlifting,1906 Summer,1906,Summer,Athina
151837,None,ESP,Bronze,Athletics Men's 50 kilometres Walk,Athletics,1996 Summer,1996,Summer,Atlanta
151846,None,FRA,Gold,Fencing Men's epee Individual,Fencing,1920 Summer,1920,Summer,Antwerpen
151847,None,FRA,Bronze,Fencing Men's epee Team,Fencing,1920 Summer,1920,Summer,Antwerpen
151850,None,FRA,Silver,Fencing Men's epee Team,Fencing,1928 Summer,1928,Summer,Amsterdam
151864,None,CAN,Bronze,Swimming Women's 100 metres Backstroke,Swimming,2016 Summer,2016,Summer,Rio de Janeiro
151870,None,ITA,Silver,Rhythmic Gymnastics Women's Group,Rhythmic Gymnastics,2004 Summer,2004,Summer,Athina
151889,None,GBR,Bronze,Athletics Women's 4 x 400 metres Relay,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
151890,None,USA,Bronze,Sailing Mixed Three Person Keelboat,Sailing,1996 Summer,1996,Summer,Atlanta
151891,None,GBR,Silver,Rowing Men's Coxed Eights,Rowing,1948 Summer,1948,Summer,London
151897,None,USA,Silver,Fencing Men's Foil Individual,Fencing,2016 Summer,2016,Summer,Rio de Janeiro
151898,None,USA,Bronze,Fencing Men's Foil Team,Fencing,2016 Summer,2016,Summer,Rio de Janeiro
151916,None,ESP,Bronze,Handball Men's Handball,Handball,2000 Summer,2000,Summer,Sydney
151920,None,ARG,Gold,Hockey Men's Hockey,Hockey,2016 Summer,2016,Summer,Rio de Janeiro
151931,None,FRA,Silver,Fencing Men's Foil Individual,Fencing,1900 Summer,1900,Summer,Paris
151936,None,FRA,Gold,Cycling Men's Sprint,Cycling,1896 Summer,1896,Summer,Athina
151937,None,FRA,Gold,Cycling Men's 333 metres Time Trial,Cycling,1896 Summer,1896,Summer,Athina
151938,None,FRA,Gold,Cycling Men's 10000 metres,Cycling,1896 Summer,1896,Summer,Athina
151944,None,CHI,Gold,Tennis Men's Singles,Tennis,2004 Summer,2004,Summer,Athina
151945,None,CHI,Gold,Tennis Men's Doubles,Tennis,2004 Summer,2004,Summer,Athina
151949,None,ITA,Bronze,Modern Pentathlon Men's Individual,Modern Pentathlon,1984 Summer,1984,Summer,Los Angeles
151950,None,ITA,Gold,Modern Pentathlon Men's Team,Modern Pentathlon,1984 Summer,1984,Summer,Los Angeles
151951,None,ITA,Silver,Modern Pentathlon Men's Individual,Modern Pentathlon,1988 Summer,1988,Summer,Seoul
151952,None,ITA,Silver,Modern Pentathlon Men's Team,Modern Pentathlon,1988 Summer,1988,Summer,Seoul
151954,None,ITA,Bronze,Modern Pentathlon Men's Team,Modern Pentathlon,1992 Summer,1992,Summer,Barcelona
151965,None,ROU,Silver,Rowing Men's Coxed Eights,Rowing,1992 Summer,1992,Summer,Barcelona
151969,None,NED,Gold,Swimming Women's 100 metres Freestyle,Swimming,1936 Summer,1936,Summer,Berlin
151970,None,NED,Gold,Swimming Women's 400 metres Freestyle,Swimming,1936 Summer,1936,Summer,Berlin
151971,None,NED,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,1936 Summer,1936,Summer,Berlin
151972,None,NED,Silver,Swimming Women's 100 metres Backstroke,Swimming,1936 Summer,1936,Summer,Berlin
151979,None,USA,Bronze,Equestrianism Mixed Dressage Team,Equestrianism,1976 Summer,1976,Summer,Montreal
151981,None,RUS,Gold,Athletics Women's 800 metres,Athletics,1996 Summer,1996,Summer,Atlanta
151982,None,RUS,Gold,Athletics Women's 1500 metres,Athletics,1996 Summer,1996,Summer,Atlanta
151991,None,AUS,Silver,Athletics Women's 4 x 100 metres Relay,Athletics,1948 Summer,1948,Summer,London
151994,None,CAN,Silver,Rowing Women's Coxed Eights,Rowing,2012 Summer,2012,Summer,London
151998,None,ITA,Bronze,Volleyball Men's Volleyball,Volleyball,2000 Summer,2000,Summer,Sydney
151999,None,ITA,Silver,Volleyball Men's Volleyball,Volleyball,2004 Summer,2004,Summer,Athina
152001,None,ITA,Bronze,Volleyball Men's Volleyball,Volleyball,2012 Summer,2012,Summer,London
152005,None,ITA,Gold,Gymnastics Men's Team All-Around,Gymnastics,1920 Summer,1920,Summer,Antwerpen
152015,None,JPN,Silver,Softball Women's Softball,Softball,2000 Summer,2000,Summer,Sydney
152047,None,POL,Gold,Football Men's Football,Football,1972 Summer,1972,Summer,Munich
152048,None,POL,Silver,Football Men's Football,Football,1976 Summer,1976,Summer,Montreal
152053,None,HUN,Bronze,Fencing Men's Foil Individual,Fencing,1948 Summer,1948,Summer,London
152056,None,HUN,Bronze,Fencing Men's Foil Team,Fencing,1952 Summer,1952,Summer,Helsinki
152077,None,FIJ,Gold,Rugby Sevens Men's Rugby Sevens,Rugby Sevens,2016 Summer,2016,Summer,Rio de Janeiro
152098,None,USA,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1956 Winter,1956,Winter,Cortina d'Ampezzo
152107,None,URS,Gold,Wrestling Men's Heavyweight Freestyle,Wrestling,1980 Summer,1980,Summer,Moskva
152113,None,KEN,Bronze,Athletics Men's 3000 metres Steeplechase,Athletics,2008 Summer,2008,Summer,Beijing
152124,None,HUN,Bronze,Handball Women's Handball,Handball,1996 Summer,1996,Summer,Atlanta
152131,None,ROU,Silver,Wrestling Men's Light-Heavyweight Greco-Roman,Wrestling,1984 Summer,1984,Summer,Los Angeles
152177,None,ZAM,Silver,Athletics Men's 400 metres Hurdles,Athletics,1996 Summer,1996,Summer,Atlanta
152186,None,UKR,Silver,Sailing Women's Three Person Keelboat,Sailing,2004 Summer,2004,Summer,Athina
152198,None,CAN,Bronze,Football Women's Football,Football,2012 Summer,2012,Summer,London
152199,None,CAN,Bronze,Football Women's Football,Football,2016 Summer,2016,Summer,Rio de Janeiro
152203,None,AUS,Bronze,Hockey Men's Hockey,Hockey,2008 Summer,2008,Summer,Beijing
152205,None,GBR,Silver,Rowing Men's Coxed Eights,Rowing,1976 Summer,1976,Summer,Montreal
152212,None,AUS,Bronze,Athletics Women's 100 metres,Athletics,1956 Summer,1956,Summer,Melbourne
152213,None,AUS,Bronze,Athletics Women's 200 metres,Athletics,1956 Summer,1956,Summer,Melbourne
152216,None,USA,Gold,Water Polo Women's Water Polo,Water Polo,2012 Summer,2012,Summer,London
152217,None,USA,Gold,Water Polo Women's Water Polo,Water Polo,2016 Summer,2016,Summer,Rio de Janeiro
152220,None,USA,Gold,Athletics Men's Decathlon,Athletics,1948 Summer,1948,Summer,London
152221,None,USA,Gold,Athletics Men's Decathlon,Athletics,1952 Summer,1952,Summer,Helsinki
152229,None,DEN,Bronze,Sailing Mixed Three Person Keelboat,Sailing,1988 Summer,1988,Summer,Seoul
152231,None,SWE,Bronze,Wrestling Men's Lightweight Greco-Roman,Wrestling,1912 Summer,1912,Summer,Stockholm
152235,None,NOR,Gold,Speed Skating Men's 1500 metres,Speed Skating,1936 Winter,1936,Winter,Garmisch-Partenkirchen
152254,None,FRA,Bronze,Rowing Men's Coxed Pairs (1 mile),Rowing,1906 Summer,1906,Summer,Athina
152255,None,FRA,Bronze,Rowing Men's Coxed Fours,Rowing,1906 Summer,1906,Summer,Athina
152264,None,BAH,Silver,Athletics Men's 4 x 400 metres Relay,Athletics,2008 Summer,2008,Summer,Beijing
152266,None,BAH,Gold,Athletics Men's 4 x 400 metres Relay,Athletics,2012 Summer,2012,Summer,London
152267,None,BAH,Bronze,Athletics Men's 4 x 400 metres Relay,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
152307,None,NOR,Silver,Canoeing Men's Kayak Doubles 10000 metres,Canoeing,1948 Summer,1948,Summer,London
152310,None,NOR,Gold,Gymnastics Men's Team All-Around Free System,Gymnastics,1912 Summer,1912,Summer,Stockholm
152320,None,BEL,Bronze,Cycling Men's Points Race,Cycling,1992 Summer,1992,Summer,Barcelona
152323,None,BEL,Bronze,Equestrianism Mixed Jumping Individual,Equestrianism,1976 Summer,1976,Summer,Montreal
152324,None,BEL,Bronze,Equestrianism Mixed Jumping Team,Equestrianism,1976 Summer,1976,Summer,Montreal
152357,None,GER,Bronze,Judo Women's Extra-Lightweight,Judo,2004 Summer,2004,Summer,Athina
152361,None,FIN,Bronze,Cross Country Skiing Women's 4 x 5 kilometres Relay,Cross Country Skiing,1984 Winter,1984,Winter,Sarajevo
152362,None,FIN,Gold,Cross Country Skiing Women's 5 kilometres,Cross Country Skiing,1988 Winter,1988,Winter,Calgary
152363,None,FIN,Bronze,Cross Country Skiing Women's 10 kilometres,Cross Country Skiing,1988 Winter,1988,Winter,Calgary
152365,None,FIN,Bronze,Cross Country Skiing Women's 4 x 5 kilometres Relay,Cross Country Skiing,1988 Winter,1988,Winter,Calgary
152378,None,URS,Silver,Rowing Women's Coxed Quadruple Sculls,Rowing,1980 Summer,1980,Summer,Moskva
152382,None,AUS,Silver,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,2004 Summer,2004,Summer,Athina
152390,None,TCH,Silver,Football Men's Football,Football,1964 Summer,1964,Summer,Tokyo
152402,None,FRA,Bronze,Cycling Men's Tandem Sprint 2000 metres,Cycling,1936 Summer,1936,Summer,Berlin
152406,None,CUB,Gold,Taekwondo Men's Welterweight,Taekwondo,2000 Summer,2000,Summer,Sydney
152415,None,CRO,Gold,Handball Men's Handball,Handball,1996 Summer,1996,Summer,Atlanta
152416,None,CRO,Gold,Handball Men's Handball,Handball,2004 Summer,2004,Summer,Athina
152444,None,TCH,Bronze,Gymnastics Women's Team All-Around,Gymnastics,1952 Summer,1952,Summer,Helsinki
152458,None,TCH,Silver,Gymnastics Women's Team All-Around,Gymnastics,1960 Summer,1960,Summer,Roma
152468,None,BUL,Silver,Shooting Women's Small-Bore Rifle Three Positions 50 metres,Shooting,1992 Summer,1992,Summer,Barcelona
152495,None,GRE,Bronze,Tennis Mixed Doubles,Tennis,1906 Summer,1906,Summer,Athina
152501,None,SWE,Bronze,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing,1936 Winter,1936,Winter,Garmisch-Partenkirchen
152514,None,USA,Bronze,Athletics Men's 400 metres,Athletics,1952 Summer,1952,Summer,Helsinki
152515,None,USA,Silver,Athletics Men's 4 x 400 metres Relay,Athletics,1952 Summer,1952,Summer,Helsinki
152516,None,USA,Silver,Athletics Men's Shot Put,Athletics,1964 Summer,1964,Summer,Tokyo
152517,None,USA,Gold,Athletics Men's Shot Put,Athletics,1968 Summer,1968,Summer,Mexico City
152524,None,JPN,Silver,Wrestling Men's Flyweight Freestyle,Wrestling,1960 Summer,1960,Summer,Roma
152536,None,JPN,Gold,Volleyball Women's Volleyball,Volleyball,1976 Summer,1976,Summer,Montreal
152544,None,JPN,Bronze,Swimming Men's 200 metres Butterfly,Swimming,2008 Summer,2008,Summer,Beijing
152546,None,JPN,Bronze,Swimming Men's 200 metres Butterfly,Swimming,2012 Summer,2012,Summer,London
152547,None,JPN,Silver,Swimming Men's 4 x 100 metres Medley Relay,Swimming,2012 Summer,2012,Summer,London
152548,None,JPN,Bronze,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,2016 Summer,2016,Summer,Rio de Janeiro
152605,None,JPN,Bronze,Football Men's Football,Football,1968 Summer,1968,Summer,Mexico City
152606,None,JPN,Gold,Judo Women's Lightweight,Judo,2012 Summer,2012,Summer,London
152607,None,JPN,Bronze,Judo Women's Lightweight,Judo,2016 Summer,2016,Summer,Rio de Janeiro
152611,None,JPN,Silver,Softball Women's Softball,Softball,2000 Summer,2000,Summer,Sydney
152613,None,JPN,Bronze,Wrestling Men's Lightweight Greco-Roman,Wrestling,2012 Summer,2012,Summer,London
152626,None,JPN,Gold,Volleyball Women's Volleyball,Volleyball,1964 Summer,1964,Summer,Tokyo
152627,None,JPN,Silver,Volleyball Women's Volleyball,Volleyball,1972 Summer,1972,Summer,Munich
152634,None,JPN,Gold,Volleyball Women's Volleyball,Volleyball,1964 Summer,1964,Summer,Tokyo
152638,None,JPN,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1992 Summer,1992,Summer,Barcelona
152641,None,JPN,Bronze,Gymnastics Men's Parallel Bars,Gymnastics,1992 Summer,1992,Summer,Barcelona
152648,None,JPN,Silver,Wrestling Men's Featherweight Freestyle,Wrestling,2008 Summer,2008,Summer,Beijing
152649,None,JPN,Silver,Baseball Men's Baseball,Baseball,1996 Summer,1996,Summer,Atlanta
152682,None,JPN,Gold,Judo Men's Half-Lightweight,Judo,1984 Summer,1984,Summer,Los Angeles
152707,None,JPN,Gold,Badminton Women's Doubles,Badminton,2016 Summer,2016,Summer,Rio de Janeiro
152713,None,JPN,Bronze,Baseball Men's Baseball,Baseball,2004 Summer,2004,Summer,Athina
152715,None,AUT,Bronze,Alpine Skiing Men's Slalom,Alpine Skiing,1968 Winter,1968,Winter,Grenoble
152717,None,AUT,Silver,Freestyle Skiing Men's Ski Cross,Freestyle Skiing,2010 Winter,2010,Winter,Vancouver
152723,None,AUT,Gold,Alpine Skiing Men's Slalom,Alpine Skiing,2014 Winter,2014,Winter,Sochi
152728,None,ITA,Silver,Boxing Men's Flyweight,Boxing,1936 Summer,1936,Summer,Berlin
152735,None,ITA,Gold,Shooting Men's Trap,Shooting,1964 Summer,1964,Summer,Tokyo
152742,None,USA,Gold,Tennis Mixed Doubles,Tennis,2016 Summer,2016,Summer,Rio de Janeiro
152744,None,FRA,Bronze,Ski Jumping Women's Normal Hill Individual,Ski Jumping,2014 Winter,2014,Winter,Sochi
152756,None,GDR,Gold,Canoeing Men's Kayak Doubles 500 metres,Canoeing,1976 Summer,1976,Summer,Montreal
152757,None,GDR,Silver,Canoeing Men's Kayak Doubles 1000 metres,Canoeing,1976 Summer,1976,Summer,Montreal
152760,None,ITA,Bronze,Shooting Men's Rapid-Fire Pistol 25 metres,Shooting,1932 Summer,1932,Summer,Los Angeles
152765,None,GDR,Gold,Swimming Men's 100 metres Backstroke,Swimming,1968 Summer,1968,Summer,Mexico City
152766,None,GDR,Gold,Swimming Men's 200 metres Backstroke,Swimming,1968 Summer,1968,Summer,Mexico City
152767,None,GDR,Silver,Swimming Men's 4 x 100 metres Medley Relay,Swimming,1968 Summer,1968,Summer,Mexico City
152768,None,GDR,Bronze,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,1972 Summer,1972,Summer,Munich
152769,None,GDR,Gold,Swimming Men's 100 metres Backstroke,Swimming,1972 Summer,1972,Summer,Munich
152770,None,GDR,Gold,Swimming Men's 200 metres Backstroke,Swimming,1972 Summer,1972,Summer,Munich
152772,None,GDR,Silver,Swimming Men's 4 x 100 metres Medley Relay,Swimming,1972 Summer,1972,Summer,Munich
152773,None,GDR,Bronze,Swimming Men's 100 metres Backstroke,Swimming,1976 Summer,1976,Summer,Montreal
152791,None,GBR,Gold,Cycling Men's Tandem Sprint 2000 metres,Cycling,1906 Summer,1906,Summer,Athina
152798,None,GBR,Gold,Athletics Men's 20 kilometres Walk,Athletics,1964 Summer,1964,Summer,Tokyo
152800,None,USA,Bronze,Athletics Women's 4 x 100 metres Relay,Athletics,1956 Summer,1956,Summer,Melbourne
152804,None,GBR,Gold,Shooting Men's Small-Bore Rifle 50 and 100 yards Team,Shooting,1908 Summer,1908,Summer,London
152806,None,GBR,Silver,Shooting Men's Small-Bore Rifle Moving Target 25 yards,Shooting,1908 Summer,1908,Summer,London
152810,None,JAM,Silver,Athletics Men's 4 x 400 metres Relay,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
152814,None,USA,Gold,Athletics Men's 4 x 400 metres Relay,Athletics,1968 Summer,1968,Summer,Mexico City
152815,None,USA,Gold,Athletics Men's 400 metres,Athletics,1972 Summer,1972,Summer,Munich
152818,None,GER,Bronze,Rowing Men's Coxed Eights,Rowing,1912 Summer,1912,Summer,Stockholm
152825,None,NED,Silver,Sailing Women's One Person Dinghy,Sailing,1996 Summer,1996,Summer,Atlanta
152826,None,NED,Silver,Sailing Women's One Person Dinghy,Sailing,2000 Summer,2000,Summer,Sydney
152845,None,FIN,Silver,Military Ski Patrol Men's Military Ski Patrol,Military Ski Patrol,1924 Winter,1924,Winter,Chamonix
152851,None,BRA,Bronze,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1980 Summer,1980,Summer,Moskva
152865,None,SUI,Bronze,Alpine Skiing Men's Giant Slalom,Alpine Skiing,1972 Winter,1972,Winter,Sapporo
152867,None,URU,Bronze,Basketball Men's Basketball,Basketball,1952 Summer,1952,Summer,Helsinki
152868,None,URU,Bronze,Basketball Men's Basketball,Basketball,1956 Summer,1956,Summer,Melbourne
152875,None,GER,Gold,Speed Skating Women's Team Pursuit (6 laps),Speed Skating,2010 Winter,2010,Winter,Vancouver
152882,None,SWE,Bronze,Athletics Men's Cross-Country Team,Athletics,1920 Summer,1920,Summer,Antwerpen
152898,None,SWE,Bronze,Wrestling Women's Featherweight Freestyle,Wrestling,2016 Summer,2016,Summer,Rio de Janeiro
152927,None,YUG,Gold,Football Men's Football,Football,1960 Summer,1960,Summer,Roma
152939,None,URS,Gold,Volleyball Men's Volleyball,Volleyball,1968 Summer,1968,Summer,Mexico City
152973,None,RUS,Bronze,Rowing Men's Coxed Eights,Rowing,1996 Summer,1996,Summer,Atlanta
